color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Rob Cohen,1,0.04915824298367285,1,1,Vin Diesel,1,1,Action|Crime|Thriller,Paul Walker,the fast and the furiousâ,1,1,Jordana Brewster,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,3,English,USA,PG-13,0.4222208227126594,,1,0.6623376623376623,2.35,14000
Color,,-1,-2.8135165501977446,1,1,Philip Michael Thomas,1,,Action|Crime|Drama|Mystery|Thriller,Don Johnson,miami viceâ,1,1,John Diehl,cult tv|detective|drugs|police|undercover,http://www.imdb.com/title/tt0086759/?ref_=fn_tt_tt_1,0,English,USA,TV-14,0.016664284809045426,,1,0.7662337662337662,1.33,0
Color,Paul Verhoeven,1,0.484782668033019,1,1,Rachel Ticotin,1,1,Action|Sci-Fi,Ronny Cox,total recallâ,1,1,Marshall Bell,ambiguous ending|false memory|implanted memory|memory|space colony,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,1,English,USA,R,0.7222215493810862,,1,0.7662337662337662,1.85,0
Color,John McTiernan,0,-0.1997699999016678,1,1,Vladimir Kulich,1,1,Action|Adventure|History,Tony Curran,the 13th warriorâ,1,1,Clive Russell,arab|battle|combat|viking|warrior,http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,2,English,USA,R,0.9444443098762172,,1,0.6493506493506492,2.35,0
Color,FrÃ©dÃ©ric Forestier,0,0.6714788501970245,0,1,Santiago Segura,1,,Adventure|Comedy|Family|Fantasy,Alain Delon,asterix at the olympic gamesâ,1,1,Vanessa Hessler,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,http://www.imdb.com/title/tt0463872/?ref_=fn_tt_tt_1,0,French,France,,0.8666663437029213,,1,0.4545454545454545,2.35,291
Color,Peter Chelsom,0,-0.07530587845899749,1,1,Warren Beatty,1,1,Comedy|Romance,Del Zamora,town & countryâ,1,1,Garry Shandling,anniversary|architect|cellist|friend|hardware store,http://www.imdb.com/title/tt0141907/?ref_=fn_tt_tt_1,0,English,New Line,R,1.0,,1,0.36363636363636365,1.85,53
Color,Dominic Sena,1,1.3560315181317113,1,1,Angelina Jolie Pitt,1,1,Action|Crime|Thriller,Nicolas Cage,gone in sixty secondsâ,1,1,Robert Duvall,auto theft|brother|car|theft|thief,http://www.imdb.com/title/tt0187078/?ref_=fn_tt_tt_1,1,English,USA,PG-13,1.0,,1,0.6363636363636364,2.35,0
Color,Peter Hyams,1,0.9826391538037004,0,1,Mark Margolis,1,1,Action|Fantasy|Horror|Mystery,CCH Pounder,end of daysâ,1,1,Udo Kier,atheist|ex cop|female masturbation|female nudity|lucifer,http://www.imdb.com/title/tt0146675/?ref_=fn_tt_tt_1,1,English,USA,R,0.9222220338267041,,1,0.5324675324675324,2.35,2000
Color,Zack Snyder,1,-0.26200206062300296,0,1,Richard Roxburgh,1,1,Action|Adventure|Animation|Family|Fantasy,Abbie Cornish,legend of the guardians: the owls of ga'hooleâ,1,1,Anthony LaPaglia,barn owl|escape|owl|ruler|soldier,http://www.imdb.com/title/tt1219342/?ref_=fn_tt_tt_1,0,English,USA,PG,0.8888886197524344,,1,0.7012987012987012,2.35,16000
Color,Patrick Hughes,2,1.604959761017052,1,1,Sylvester Stallone,1,1,Action|Adventure|Thriller,Jason Statham,the expendables 3â,1,1,Harrison Ford,battle|fight|mission|pg 13 sequel to r rated franchise|rescue,http://www.imdb.com/title/tt2333784/?ref_=fn_tt_tt_1,1,English,USA,PG-13,1.0,,1,0.5844155844155844,2.35,56000
